query,location_canonical,kind,state,lat,lon,population,confidence
las vegas,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
mexico hotels all inclusive,Mexico,city,MO,39.16976,-91.88295,11660,0.95
typhoon texas waterpark,Texas,state,TX,,,0,0.93
spa houston,Houston,city,TX,29.76328,-95.36327,2314157,0.95
dreamhack dallas,Dallas,city,GA,33.92371,-84.84077,12870,0.95
kalahari,,,,,,0,0.0
dallas cowboys,Dallas,city,GA,33.92371,-84.84077,12870,0.95
"great wolf lodge dallas, tx",Dallas,city,GA,33.92371,-84.84077,12870,0.95
greece,Greece,city,NY,43.20978,-77.69306,14519,0.95
resorts texas,Texas,state,TX,,,0,0.93
texas real estate,Texas,state,TX,,,0,0.93
texas rangers baseball,Texas,state,TX,,,0,0.93
virginia beach,Virginia Beach,city,VA,36.85293,-75.97799,454808,0.95
miramar beach fl,Miramar,city,FL,25.98731,-80.23227,137132,0.95
michigan hotel,Michigan,state,MI,,,0,0.93
park and fly cleveland,Cleveland,city,MS,33.744,-90.72482,12327,0.95
asutralia,,,,,,0,0.0
europe,,,,,,0,0.0
park n fly toronto,,,,,,0,0.0
nuggmd,,,,,,0,0.0
berlin ohio,Ohio,state,OH,,,0,0.93
spray tans uniontown ohio,Ohio,state,OH,,,0,0.93
san diego,San Diego,city,CA,32.71571,-117.16472,1404452,0.95
georgia,Georgia,state,GA,,,0,0.93
fort myers fishing trip pure florida,Fort Myers,city,FL,26.62168,-81.84059,74013,0.95
myrtle beach,Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
"nassau, bahamas",,,,,,0,0.0
china house,,,,,,0,0.0
"baltimore, ohio",Baltimore,city,MD,39.29038,-76.61219,585708,0.95
mamouth cave kentucky,Kentucky,state,KY,,,0,0.93
mgm northfield ohio,Northfield,city,MN,44.4583,-93.1616,20380,0.95
texas roadhouse,Texas,state,TX,,,0,0.93
car rental akron ohio,Akron,city,OH,41.08144,-81.51901,197542,0.95
canton ohio,Canton,city,GA,34.23676,-84.49076,25469,0.95
"canton, ohio",Canton,city,GA,34.23676,-84.49076,25469,0.95
berlin resort,North Canton,city,OH,40.87589,-81.40234,17441,0.9
"pro football hall of fame canton, ohio",Canton,city,GA,34.23676,-84.49076,25469,0.95
ocean city,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
canton,Canton,city,GA,34.23676,-84.49076,25469,0.95
art gallery of toronto,Watertown,city,NY,43.97478,-75.91076,26780,0.9
weed card ohio,Ohio,state,OH,,,0,0.93
"hotels in eric, pa",,,,,,0,0.0
golf in myrtle beach sc,Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
cleveland zoo,Cleveland,city,MS,33.744,-90.72482,12327,0.95
laser zone canton,Canton,city,GA,34.23676,-84.49076,25469,0.95
new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
"brunswick, ohio",Brunswick,city,GA,31.15013,-81.49147,16157,0.95
rhode island,Rhode Island,state,RI,,,0,0.93
cleveland,Cleveland,city,MS,33.744,-90.72482,12327,0.95
mckinley presidential library,,,,,,0,0.0
munford,,,,,,0,0.0
michigan,Michigan,state,MI,,,0,0.93
universal studios orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
ashland,Ashland,city,KY,38.47841,-82.63794,21108,0.95
massage akron ohio,Akron,city,OH,41.08144,-81.51901,197542,0.95
