name,kind,state,lat,lon,population,variants
Henderson,city,TX,32.15322,-94.79938,13529,Khenderson|hndrswn|hndrswn  tgzas|Хендерсон|هندرسون|هندرسون، تگزاس
Fort Hunt,city,VA,38.73289,-77.05803,16045,Fort Khant|Fort-Gant|frt hant|frt hant  wyrjynya|fwrt hnt|Форт Хант|Форт-Гант|فرت هانت|فرت هانت، ویرجینیا|فورت هنت|フォート・ハント
Trinity,city,FL,28.18085,-82.68177,10907,
Villas,city,FL,26.55035,-81.8687,11569,Vajlas|bhillosa|wei la si|wylas|wylas  flwryda|Вајлас|Виллас|Віллас|ویلاس|ویلاس، فلوریدا|भिल्लोस|維拉斯
Bessemer,city,AL,33.40178,-86.95444,26730,Besemer|bei se mo|bes'semara|beseomeo|bsmr|bysmyr|Бесемер|Бессемер|بسمر|بيسمير|बेस्सेमर|贝瑟默|베서머
Paducah,city,KY,37.08339,-88.60005,24864,PAH|Padaka|Padjuka|Paduka|Pekin|badwka|pa di you ka|padeyuka|pdwka  kntaky|peodyuka|Падака|Падука|Падјука|بادوكا|پاڈوکاہ، کینٹکی|پدوکا، کنتاکی|パデューカ|帕迪尤卡|퍼듀카
Birmingham,city,AL,33.52066,-86.80249,196357,BHM|Bermincham|Bermingkham|Birmingam|Birmingamas|Birmingem|Birmingema|Birmingham i Alabama|Birminhem|baminguhamu|baminhamu|barmingahema|barmingahyama|beominghaem|birmingemi|bo ming han|brmnghham|brmyngm  alabama|parminkam|Μπέρμιγχαμ|Бермингхам|Бирмингам|Бирмингем|Бірмінгем|ברמינגהאם|برمنغهام|برمنگھم، الاباما|برمینگم، آلاباما|बर्मिंगहॅम|बर्मिङ्गह्याम|பர்மிங்காம்|རྦིར་མིང་ཧམ།|ბირმინგემი|バーミングハム|バーミンハム|伯明翰|버밍햄
Cordova,city,TN,35.15565,-89.7762,68779,
Buda,city,TX,30.08521,-97.84028,13705,Bjuda|Do Pray|Du Pree|bwda|bwda  tgzas|bwda  tkzas|byuda|Бюда|Бјуда|بودا|بودا، تکزاس|بودا، تگزاس|ビューダ
Calera,city,AL,33.1029,-86.7536,13213,Buxahatchie|Kalera|Lime Kiln|Lime Plant|Lime Station|ka lai la|kalra|kalyra|kyalera|Калера|كاليرا|کالرا|क्यालेरा|卡莱拉
Center Point,city,AL,33.64566,-86.6836,16655,Senter Pojnt|Sentr-Pojnt|sentara po'inta|sntr bwynt|sntr pwynt  alabama|zhong xin dian|Сентер Појнт|Сентр-Пойнт|سنتر بوينت|سنتر پوینت، آلاباما|سەنتەر پۆینت، ئەلاباما|सेन्टर पोइन्ट|中心点
Chelsea,city,AL,33.34011,-86.63026,12059,Chelsi|celsi|chelsi|chlsy  alabama|qie er xi|tshylsya|Челси|Челсі|تشيلسيا|چلسی، آلاباما|چێلسی، ئەلاباما|चेल्सी|切尔西|첼시
Cullman,city,AL,34.17482,-86.84361,15350,Kallmen|Kalman|Kalmen|Kulman|ka er man|kalamyana|karuman|keolmeon|klmn  alabama|kwlman|Каллмен|Калман|Калмен|Кулман|Кълман|كولمان|کلمن، آلاباما|کەلمەن، ئەلاباما|कलम्यान|カルマン|卡尔曼|컬먼
Daphne,city,AL,30.60353,-87.9036,24896,Dafni|Daphney|Hollywood|da fu ni|dfny  alabama|dyaphne|dyfny|Дафни|Дафні|دفنی، آلاباما|ديفني|دەفنی، ئەلاباما|ड्याफ्ने|达芙妮
Decatur,city,AL,34.60593,-86.98334,55437,DCU|Dekejter|Dekejtur|dekatara|di kai te|dikeiteo|diketa|diketara|dykatwr|dykytr  alabama|Декейтер|Декејтур|ديكاتور|دیکیتر، آلاباما|دیکەیتەر، ئەلاباما|ڈیکیٹر، الاباما|डिकेटर|डेकाटर|ディケーター|迪凯特|디케이터
