Location Entity,Count
chicago,319
orlando,293
las vegas,198
new york,158
miami,147
florida,121
california,110
san diego,107
texas,105
atlanta,103
ohio,90
boston,76
atlantic city,62
houston,59
philadelphia,57
dallas,55
san francisco,55
atlantic,53
cotsco,52
salsa,51
myrtle beach,48
jurassic,48
georgia,48
washington,45
new orleans,45
arizona,43
denver,40
newport beach,38
michigan,38
kalahari,36
manhattan,31
la,30
america,29
colorado,28
scan,27
chu,26
virginia,26
brazil,25
long beach,25
maryland,24
bronx,23
los angeles,23
new york city,23
brooklyn,23
kentucky,22
ocean city,22
hawaii,22
beverly hills,21
palm beach,20
sedona,19
london,18
new jersey,18
oregon,18
oakland,17
san jose,16
india,16
kansas,16
sacramento,16
kahuna,15
paris,15
spenga,15
toronto,15
cincinnati,14
nova,14
minneapolis,14
belmont,14
central park,13
candela,13
nashville,13
canada,13
la jolla,13
san antonio,12
san diego zoo,12
hollywood,12
milia,12
magic mountain,11
miami boat,11
costa rica,11
italy,11
nirvana,11
las vegas hotels,11
santa cruz,11
pennsylvania,11
arlington,11
gangnam,10
tampa bay,10
kawaii,10
detroit,10
santa monica,10
china,10
nola,10
indiana beach,10
japan,10
ireland,10
miami beach,9
knotts,9
fremont,9
osaka,9
milwaukee,9
san juan,9
virginia beach,9
charlotte,9
henderson,9
pittsburgh,8
maid,8
san diego sea,8
quinta,8
ferox,8
aquatica,8
tampa,8
tatto,8
nuggmd,8
minnesota,8
walnut creek,7
santa cruz beach,7
dublin,7
newark,7
newport harbor,7
jamaica,7
juveau,7
seattle,7
omaha,7
new england,7
dominican republic,7
cleveland,6
tina,6
bingo,6
bucks county river,6
thailand,6
south bay,6
las vegas strip,6
branson,6
pacific,6
orland park,6
moxi,6
santa ana,6
richmond,6
mel,6
sarasota,6
kingdom,6
louisiana,6
’s,6
san diego airport,6
canton,6
shanghai,6
malibu,6
santa barbara,6
greece,6
liquivida,5
miami sea,5
idaho,5
panama city,5
nevada,5
charleston,5
red rock,5
saigon,5
alabama,5
naples,5
utah,5
palm beach tan,5
illinois,5
california great america,5
south beach,5
indiana,5
cambria,5
netflix,5
orange county,5
ventura,5
maia,5
slick city,5
tennessee,5
prussia,5
long island,5
la county,5
jacksonville,5
congo,4
beijing,4
seattle city,4
east hill,4
newport landing,4
scotland,4
pomona,4
north carolina,4
san mateo,4
san diego harbor cruise,4
geneva,4
winston,4
schaumburg,4
berkeley,4
salt lake,4
yuva,4
waukesha,4
las vegas atv,4
half moon bay,4
alpaca,4
ottawa,4
leesburg,4
springfield,4
cuba,4
kayak rentals,4
zerona,4
havana,4
island park,4
orange beach,4
ombré,4
south lake,4
east bay,3
