q,lat,lng,region_res5,region_res4
costco,47.355381,-122.121914,8528d437fffffff,8428d43ffffffff
costco,39.914269,-86.061598,852a924ffffffff,842a925ffffffff
costco,40.004032,-86.000632,852a924bfffffff,842a925ffffffff
costco,42.432936,-83.429501,852ab2cbfffffff,842ab2dffffffff
costco,34.427788,-119.874785,8529ac93fffffff,8429ac9ffffffff
costco,38.252052,-122.27827,85283007fffffff,8428301ffffffff
costco,40.733219,-73.863467,852a100ffffffff,842a101ffffffff
costco,46.348751,-94.247881,8526251bfffffff,842625dffffffff
costco,39.254208,-94.59833,8526561bfffffff,8426561ffffffff
costco,40.906917,-74.568348,852a104bfffffff,842a105ffffffff
costco,33.921592,-84.351499,8544c133fffffff,8444c13ffffffff
costco,38.427766,-78.857042,852a8cdbfffffff,842a8cdffffffff
costco,41.941087,-88.133365,85275923fffffff,8427593ffffffff
costco,21.283699,-157.709516,8546494bfffffff,8446495ffffffff
costco,34.014515,-117.741858,8529a0affffffff,8429a0bffffffff
costco,34.836086,-82.311008,8544dd57fffffff,8444dd5ffffffff
costco,41.359448,-72.212701,852a15d7fffffff,842a15dffffffff
costco,32.677913,-97.408449,8526cbdbfffffff,8426cbdffffffff
costco,26.096549,-80.247735,8544a133fffffff,8444a13ffffffff
costco,33.376089,-111.840195,8548eba3fffffff,8448ebbffffffff
costco,33.808549,-118.334096,8529a563fffffff,8429a57ffffffff
costco,40.974884,-73.861571,852a101bfffffff,842a101ffffffff
costco,37.478466,-122.216244,85283477fffffff,8428347ffffffff
costco,47.767063,-117.380375,8512db0ffffffff,8412db1ffffffff
costco,33.920373,-83.456828,8544c3b7fffffff,8444c3bffffffff
costco,39.917353,-86.227924,852661b3fffffff,842661bffffffff
costco,33.876039,-117.743787,8529a0a3fffffff,8429a0bffffffff
costco,39.79014,-105.082345,85268cdbfffffff,84268cdffffffff
costco,38.018799,-121.292752,85283623fffffff,8428363ffffffff
costco,43.614889,-116.589753,85288437fffffff,8428843ffffffff
costco,39.036364,-94.357191,85265607fffffff,8426561ffffffff
costco,39.721077,-121.811472,852814b7fffffff,842814bffffffff
costco,30.251668,-81.533555,8544f057fffffff,8444f05ffffffff
costco,34.185739,-118.324045,8529a1c7fffffff,8429a1dffffffff
costco,36.703652,-121.669171,852834dbfffffff,842834dffffffff
costco,40.860881,-73.11802,852a10b3fffffff,842a10bffffffff
costco,37.898825,-122.320125,8528308ffffffff,8428309ffffffff
costco,38.008706,-121.835455,852830cffffffff,842830dffffffff
costco,33.48047,-84.219537,8544c18ffffffff,8444c19ffffffff
costco,45.549498,-94.201128,8526219bfffffff,8426219ffffffff
costco,47.238267,-122.373304,8528d5c3fffffff,8428d5dffffffff
costco,38.133241,-122.213369,85283003fffffff,8428301ffffffff
costco,33.696421,-117.339844,8529a08ffffffff,8429a09ffffffff
costco,25.912975,-80.154673,8544a103fffffff,8444a11ffffffff
costco,39.128407,-123.197738,8528316bfffffff,8428317ffffffff
costco,35.987572,-115.138731,85298687fffffff,8429869ffffffff
costco,41.265662,-96.105047,85260e27fffffff,84260e3ffffffff
costco,33.935555,-117.276579,8529a003fffffff,8429a01ffffffff
costco,42.910571,-85.542822,8527481bfffffff,8427481ffffffff
costco,32.908196,-96.445721,8526c823fffffff,8426c83ffffffff
costco,34.005387,-84.569215,8544ccdbfffffff,8444ccdffffffff
costco,42.137334,-71.066118,852a3393fffffff,842a339ffffffff
costco,42.557046,-70.977166,852a300ffffffff,842a307ffffffff
costco,33.136437,-117.12456,8529a473fffffff,8429a47ffffffff
costco,35.13664,-106.613754,8548d887fffffff,8448d89ffffffff
costco,37.242682,-121.794487,85283447fffffff,8428345ffffffff
costco,39.663006,-84.105906,852a9393fffffff,842a939ffffffff
costco,38.508146,-90.338503,8526405bfffffff,8426405ffffffff
costco,47.658652,-117.333713,8512db77fffffff,8412db7ffffffff
costco,40.522544,-74.855601,852a12affffffff,842a12bffffffff
costco,40.757682,-73.420298,852a10abfffffff,842a10bffffffff
costco,47.774849,-122.344447,8528d54ffffffff,8428d55ffffffff
costco,30.20226,-81.756311,8544f01bfffffff,8444f01ffffffff
costco,34.230618,-118.550457,8529a18ffffffff,8429a19ffffffff
costco,47.550673,-122.052198,8528d55bfffffff,8428d55ffffffff
costco,37.694781,-121.917724,8528346ffffffff,8428347ffffffff
costco,47.156326,-122.308696,8528d5d3fffffff,8428d5dffffffff
costco,44.830393,-91.447596,8527538ffffffff,8427539ffffffff
costco,30.030899,-97.851349,85489ea3fffffff,84489ebffffffff
costco,35.161961,-80.884761,8544d84ffffffff,8444d85ffffffff
costco,42.8766,-85.764064,85274857fffffff,8427485ffffffff
costco,33.044838,-96.698984,8526c83bfffffff,8426c83ffffffff
costco,33.397785,-84.61741,8544ea4bfffffff,8444ea5ffffffff
costco,26.807207,-80.087622,8544aebbfffffff,8444aebffffffff
costco,43.08951,-88.231795,85275d63fffffff,84275d7ffffffff
costco,35.251848,-120.691223,8529adc7fffffff,8429addffffffff
costco,39.636904,-105.086534,85268ccbfffffff,84268cdffffffff
costco,38.671721,-121.72273,852832b7fffffff,842832bffffffff
costco,40.67305,-74.104495,852a1073fffffff,842a107ffffffff
costco,40.672497,-89.583522,852662cbfffffff,842662dffffffff
costco,41.844356,-87.805472,852664cbfffffff,842664dffffffff
costco,42.448231,-83.206023,852ab2c3fffffff,842ab2dffffffff
costco,28.188773,-82.394257,85441a03fffffff,84441a1ffffffff
costco,46.84456,-96.887663,852626c7fffffff,842626dffffffff
costco,36.279741,-115.207891,852986abfffffff,842986bffffffff
costco,33.459749,-112.500241,8529b69bfffffff,8429b69ffffffff
costco,36.839631,-119.787951,8529ab83fffffff,8429ab9ffffffff
costco,47.165787,-122.158352,8528d5dbfffffff,8428d4bffffffff
costco,39.295921,-84.302928,852a9313fffffff,842a931ffffffff
costco,38.468475,-121.414341,85283287fffffff,8428329ffffffff
costco,28.599536,-81.300069,8544a90ffffffff,8444a91ffffffff
costco,46.895681,-114.037627,85289853fffffff,8428985ffffffff
costco,39.644362,-106.890825,8526838ffffffff,8426839ffffffff
costco,46.562131,-120.500698,852889bbfffffff,842889bffffffff
costco,44.93669,-92.964003,85275267fffffff,8427527ffffffff
costco,34.089515,-118.148531,8529a1d3fffffff,8429a1dffffffff
costco,38.597675,-90.507433,8526462ffffffff,8426463ffffffff
costco,41.745328,-88.203357,85266697fffffff,8426669ffffffff
costco,34.75751,-92.451867,85265b4bfffffff,84265b5ffffffff
