query,region_res5,region_res4,label,total_orders,source,share_near,share_far,dist_segment
manicure,852aa84ffffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
dig dig,852a924ffffffff,842a925ffffffff,0,50,REAL,1,0,LOCAL
healthy spa,852aa6cbfffffff,842aa6dffffffff,0,50,REAL,1,0,LOCAL
facials,852af637fffffff,842af63ffffffff,0,50,REAL,0.8,0.2,LOCAL
full synthetic oil change,85268cc3fffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
massage,85283297fffffff,8428329ffffffff,0,50,REAL,1,0,LOCAL
paint sip,852a100ffffffff,842a101ffffffff,0,50,REAL,0.8,0.2,LOCAL
microdermabrasion,8529868ffffffff,8429869ffffffff,0,50,REAL,1,0,LOCAL
hair cut,85274997fffffff,8427499ffffffff,0,50,REAL,1,0,LOCAL
beer,8529b6d7fffffff,8429b6dffffffff,0,50,REAL,0.8,0,LOCAL
smog test,8529a0a3fffffff,8429a0bffffffff,0,50,REAL,1,0,LOCAL
downtown aquarium,85268cdbfffffff,84268cdffffffff,0,50,REAL,1,0,LOCAL
ipl photofacial,852664c3fffffff,842664dffffffff,0,50,REAL,0.8,0.2,LOCAL
keratin treatment,8544a103fffffff,8444a11ffffffff,0,50,REAL,1,0,LOCAL
midas oil change,85446c23fffffff,84446c3ffffffff,0,50,REAL,0.8,0,LOCAL
massage,852a104ffffffff,842a105ffffffff,0,50,REAL,1,0,LOCAL
restaurants,852664cffffffff,842664dffffffff,0,50,REAL,1,0,LOCAL
golf,8528d543fffffff,8428d55ffffffff,0,50,REAL,0.8,0,LOCAL
bliss reflexology,852aa843fffffff,842aa85ffffffff,0,50,REAL,1,0,LOCAL
bishop,85464b97fffffff,84464b9ffffffff,0,50,REAL,0.8,0.2,LOCAL
kc holiday boutique,85265673fffffff,8426567ffffffff,0,50,REAL,1,0,LOCAL
mels,8529a1d7fffffff,8429a1dffffffff,0,50,REAL,0.8,0.2,LOCAL
