bigram,tfidf
10 for,0.0011592339864058474
10 off,0.0007083270798870369
10 or,0.00033288891934636216
10 people,0.00024998706852265946
10 toward,0.000157401302230759
100 cotton,0.0001613965602007826
100 egift,0.0002821509657023247
100 gift,0.00020236519858776898
100 off,0.00010428478065411039
100 or,0.00013074838023533354
100 restaurant,0.00048155003778982565
100 toward,0.00012029578003360467
100 towards,0.00015227580017018649
100 units,0.0002443443288829062
1000 off,0.00018126946098428497
11 off,0.00014911370109272522
12 or,0.00010406526252052271
12 pack,0.00010289837360229372
12 people,0.00012101046374139379
120 units,0.00010364159809799735
1250 for,0.00015971368421303274
15 for,0.0013519051619858059
15 minute,0.00011430581518141111
15 off,0.00033522862683194455
15 or,0.00012034010360677198
150 value,0.00011290844768317754
16 off,0.00013849174407166306
17 off,0.00011282929364161237
18 off,0.00011272082396625488
18k gold,0.00011809641194248436
19 off,0.00037979911968110964
20 40,0.00018306765552494745
20 for,0.00030852427039136855
20 off,0.0014240246895860704
20 or,0.0006667962156467925
20 toward,0.00022282263448396693
20 towards,0.0001311847127055066
20 units,0.0014984964909223026
20 value,0.00011814515630900938
20 worth,0.0011863870387597668
2025 at,0.00013388642038470177
21 off,0.0005120582401523948
22 off,0.00029532088917077364
23 off,0.00032354060781430993
24 off,0.00045260579638589296
24k gold,0.00021314272731708008
25 for,0.00013154809419562617
25 off,0.0019118390838985821
25 worth,0.00018533935776902157
26 off,0.0004939827240631118
27 off,0.00044402142658578634
28 off,0.0014427287032804782
29 off,0.000559844786714191
30 60,0.00013765340826946858
30 min,0.0003320911485264422
30 minute,0.0007997245653329538
30 minutes,0.00028053715101601857
30 off,0.0030829044411544554
30 or,0.0005701298899121822
30 toward,0.00015739702697507087
30 units,0.00012541982592824172
30 worth,0.0013324222130436814
30minute foot,0.0001886185670634285
30minute infrared,0.00016488539203471137
30minute private,0.0001185077281443786
31 off,0.0008021833613260036
32 off,0.0007116395110196055
33 off,0.0013708121590901413
34 off,0.0009675463545108233
35 off,0.0024741268929837613
36 off,0.0009307245905771105
37 off,0.0027743722904063797
38 off,0.0011355536684995622
39 off,0.0011402383005366347
3d microblading,0.00016573268020472206
40 off,0.0036193634811734535
40 or,0.00024260714510405823
40 toward,0.00010060706071841472
40 towards,0.00010112961420287241
40 units,0.0009624040915922665
40 worth,0.0002735038938465984
41 off,0.001126155897768492
