fourgram,tfidf
10 for 20 worth,0.0010921062548379546
100 egift card 50,0.00028721006273230344
100 restaurant egift card,0.0005150773367008315
100 units of dysport,0.00017076389722107412
1000 off custom lasik,0.00017235060302325157
1250 for 25 worth,0.00014074284880990606
15 for 30 worth,0.0013073138924476165
20 40 or 60,0.00013617457198575523
20 for 40 worth,0.00019270149445119308
20 or 40 units,0.00040314007241058466
20 units of botox,0.0008177736394911156
20 units of jeuveau,0.00016711046262692417
20 units of xeomin,0.00030533794310872196
20 worth of casual,0.00039018812703085103
20 worth of pizza,0.00014344773317242308
30 worth of casual,0.000755871523853875
30 worth of italian,0.000125294397707674
30 worth of mexican,0.00015562396993010826
37 off on eyebrow,0.00010267467811849663
37 off on eyelash,0.00019929506028261434
37 off on nail,0.00010069057904702734
37 off on salon,0.00017596205627352975
40 or 60 units,0.0001312189837239702
40 units of botox,0.00041779965641754494
40 units of jeuveau,0.00011379806899373757
40 units of xeomin,0.00021785663671947865
42 off on facial,0.00015289411549323538
46 off on eyelash,0.00013406403158875056
46 off on facial,0.00011518188296679185
46 off on salon,0.00013894023220868562
50 egift card 50,0.0002427258043943793
50 off for radiant,0.0001252895227445509
50 off for stunning,0.0001327276733889147
50 off for ultimate,0.0001038102511214239
50 off on eyelash,0.00010660851166869262
50 off on salon,0.0001209837802545378
50 or 100 restaurant,0.0005234439491418972
50 units of dysport,0.0003504962242076011
51 off on eyelash,0.0001061688134256429
55 off on eyelash,0.00016593396442358396
55 off on facial,0.00019203644001921822
55 off on salon,0.00019771832750288315
60 off on salon,0.00010962571059817035
60 or 90 minute,0.00013032091320255889
60 or 90 minutes,0.00012484712351998252
60 or 90minute massage,0.00018920336555495847
60 units of dysport,0.00012272400906358333
60minute couples massage with,0.00011349366104377676
60minute deep cleansing facial,0.00010827951981308289
60minute deep tissue massage,0.00018248849306726973
60minute full body massage,0.00017224587100991655
60minute lymphatic drainage massage,0.00014415769042192572
achieve radiant skin with,0.0002462555886004257
achieve smooth skin with,0.00026627266127026756
all at up to,0.00010115072883052872
all with up to,0.00011249050870451948
and blowdry up to,0.00010885995404201985
and dinein if available,0.00010079548301478512
and drink valid any,0.00020025276172007267
and dryer vent cleaning,0.00011540858702355294
and enjoy up to,0.0006216507027035259
and hot stone treatment,0.00015600945573906788
and more offering up,0.00010719909416302581
and more up to,0.0005988781834975448
and more with up,0.00045854586768399614
and save up to,0.0006614381387891056
and spa up to,0.00014581527036706376
and style up to,0.00023044746954217491
and tint up to,0.00010750742453122101
and up to 40,0.00010689657244404672
and up to 50,0.0002763764280713905
and wellness up to,0.00011598206417220707
antiaging facial up to,0.00010011662288459918
any day for takeout,0.00016134194250848308
area achieve smooth skin,0.00010701378160019011
area experience smooth skin,0.00010653434317050408
areas with up to,0.0003629370243426885
at beverly hills rejuvenation,0.00023086007966111193
at deka lash up,0.00010055307019418645
at great wolf lodge,0.00010668686561557548
at jack in the,0.00021564120864691765
at lightrx up to,0.00011641846226077294
at liquivida wellness center,0.000145605350597261
at mpg parking mp,0.00012853611046292906
at murder among us,0.00012256640033354562
at pm one ticket,0.0002931810087996742
at up to 50,0.00016520620451934828
at valvoline instant oil,0.0002815498295818258
athome escaperoomstyle murder mystery,0.00011636463498627133
automotive window tinting at,0.0001517420906297795
available parking at city,0.00032599824944944957
available parking at ipark,0.00027401795868935657
available parking at lot,0.00016852352317078289
available parking at mpg,0.00024351887747659317
available parking at sp,0.00026524091373395544
available parking at the,0.0001727533899884437
back at jack in,0.00021564120864691765
back at outback steakhouse,0.00020187003432641293
back brake pad replacement,0.00012558841534415424
back facial up to,0.0001068657409124777
bar cash back at,0.00016619838683119386
basic party package for,0.00016885817512562868
beauty bar up to,0.00013296246131331527
beauty spa up to,0.00011284280637906479
beverly hills rejuvenation center,0.00023637533716015774
blend or full synthetic,0.00016457546064208302
body massage up to,0.00013520973935199606
body massage with essential,0.00014587317958805063
body massage with hot,0.0003968283815251109
book now for an,0.00011756576645287568
booking round of golf,0.005003947415279071
botox for one area,0.00011078604590788012
brake pad replacement at,0.0001227980498215804
brazilian bikini waxing at,0.00045106055963035837
brazilian or bikini wax,0.000156051113292062
brazilian or bikini waxing,0.0004395386211040105
brazilian wax up to,0.00031189615850526635
by operation city quest,0.00012253688356912942
cafe cash back at,0.00018504154803375262
card 50 or 100,0.0005475946104222921
carpet cleaning for rooms,0.00010525963970836003
carpet cleaning for three,0.0001031821600287462
cash back at dennys,0.0001615547518606052
cash back at el,0.0002189682022678633
cash back at ihop,0.00010477209312762042
cash back at jack,0.00021564120864691765
cash back at la,0.00013401547230894643
cash back at outback,0.00020187003432641293
cash back at the,0.0005017650519011234
casual dining 10 for,0.00018521741303516523
casual dining 15 for,0.0003429884074916869
center with up to,0.0001351951882863987
change at valvoline instant,0.00015031119262299915
change oil change services,0.00013991369244668094
change services at valvoline,0.00013991369244668094
change up to 25,0.00023795842875480111
change with tire rotation,0.00011330371689068643
chemical peel up to,0.00016456918902615922
chemical peels up to,0.0001041417512810374
choice of one elevation,0.00018143561735735743
chosen by customer at,0.0002749899402373693
city quest scavenger hunt,0.00011815663890045192
classes for one or,0.00011373199462825209
classes with up to,0.00023362266156063243
classic eyelash extensions up,0.00016067959904627398
classic eyelash extensions with,0.00012134387050205552
classic hybrid and volume,0.00010401700052802423
classic hybrid or volume,0.0001779574408220914
cleaning for up to,0.0002625334190360575
cleaning with two cleaners,0.00011497928783254899
clients with up to,0.0001118318721867745
color highlights ombre at,0.00010617216448746069
color highlights roots at,0.00017539289860211152
couples massage with hot,0.00012260058972154108
cuisine 10 for 20,0.00010752245922349042
cuisine 15 for 30,0.00015482865199297038
custom lasik eye surgery,0.00017235060302325157
dailyhourly rates available parking,0.00393907334267343
