trigram,tfidf
10 for 20,0.0007235365100885595
10 off on,0.00013327044634799738
100 egift card,0.00019502815755993377
100 gift card,0.00010572654477305938
100 restaurant egift,0.0003275729403926499
100 units of,0.00012678000256069255
1000 off custom,0.0001072912579042356
15 for 30,0.000849471572873961
19 off on,0.0001548824709803989
20 for 40,0.00013978946622422326
20 off for,0.00010866356149238506
20 off on,0.00021650628687041373
20 or 40,0.0003465077911230442
20 units of,0.0008456626128876822
20 worth of,0.0007557643190013132
25 off for,0.00017043273709562616
25 off on,0.0001501671691798043
25 worth of,0.00011435943842427638
28 off on,0.0003810967760044285
30 off for,0.0002883065818788089
30 off on,0.0005180371044501439
30 or 60,0.00011884257355314658
30 or 60minute,0.00014023825134686657
30 worth of,0.0008562857374415417
31 off on,0.00010727713739624757
33 off on,0.00031486306253362023
34 off on,0.00013542335510343222
35 off for,0.00026424298585147693
35 off on,0.00036927221260879827
36 off on,0.00013258306737839543
37 off on,0.0009750923171793164
38 off on,0.00017892099872836973
39 off for,0.00010179774532355927
39 off on,0.00017788995187445028
40 off for,0.0003466797452598944
40 off on,0.0005716582429552432
40 or 60,0.0001093788505347078
40 units of,0.0005057267303333481
40 worth of,0.00016574024913442654
41 off on,0.0002266292640360871
42 off on,0.0005968474857677838
43 off on,0.000245212339654567
44 off on,0.0002180736616595848
45 off for,0.00016439040072226946
45 off on,0.00031329779851709493
46 off for,0.00012069571091768835
46 off on,0.0007492764183360573
47 off on,0.00024232729129700832
48 off for,0.00014685898540616182
48 off on,0.0002644408167902486
49 off on,0.0002673875013187509
50 egift card,0.00016205053079372474
50 off at,0.00013698104956530173
50 off for,0.000833438358406497
50 off on,0.0009692443863016803
50 or 100,0.0004306739895577943
50 units of,0.0002747959541836544
51 off on,0.0005287244999610742
52 off on,0.00026114339968027616
53 off on,0.00024286713692622483
54 off on,0.00025802431182831196
55 off for,0.00011057935628989643
55 off on,0.001519780660376211
56 off on,0.00030853883804380825
57 off on,0.0002875796343986578
58 off on,0.00023913571268298348
59 off on,0.00022201106448739832
60 minute massage,0.00010521494150442997
60 off for,0.00012178439343153736
60 off on,0.0006974154049806097
60 or 90,0.00019513685693956228
60 or 90minute,0.0004126023519375688
60 units of,0.00019770550261181394
60minute antiaging facial,0.00011412183030730295
60minute back facial,0.00010925157997712633
60minute couples massage,0.00014929137736823515
60minute deep tissue,0.00019827062550238834
60minute facial with,0.0001447002854581703
60minute full body,0.0001613589299296588
60minute lymphatic drainage,0.00016453169638411881
60minute massage with,0.00011639631597675236
60minute reiki session,0.00010294536397457785
60minute swedish massage,0.00021259351989474766
60minute swedish or,0.00011847710623989093
60minute therapeutic massage,0.00010397431955821435
61 off on,0.00020655840469598427
62 off on,0.00016880646463930993
63 off on,0.00016012297647743416
64 off on,0.0004129789462007258
65 off on,0.00016847391445302284
66 off on,0.0001418205723917956
67 off on,0.00015151852048207867
68 off on,0.00011768728547958743
69 off on,0.00018102996935990667
70 off on,0.0001727626747385777
71 off on,0.0001041046467734997
73 off on,0.00015385401034278949
75 off on,0.0001180134455949309
78 off on,0.0001533159461223056
82 off on,0.00010188635434748262
90 off on,0.0001213310430843577
90minute massage with,0.00010273874529397193
91 off on,0.00013124295976927095
achieve radiant skin,0.00020870810654758593
achieve smooth skin,0.00022148218597558514
achieving up to,0.00018296012175678743
add on treatment,0.00014672263888075934
admission for one,0.00013978632983568736
aesthetics and wellness,0.00011588041668699479
aesthetics up to,0.00026926228568979315
air duct cleaning,0.0002593251288604121
all skin types,0.00011729275051456178
among us murder,0.0001318515834080341
among us qr,0.00012456847001625398
and beauty bar,0.00011894117226544265
and blow dry,0.0001763423469836266
and day spa,0.00015335459507149433
and deep conditioning,0.0001072716845207971
and drink for,0.00010670523991888133
and drink valid,0.00017179253572878567
and dryer vent,0.00011214563783913302
and enjoy up,0.00043283020014645875
and hot stone,0.0001889667155209774
and hot stones,0.0001376279601227866
and lift treatment,0.00016773763999850354
and more at,0.00018280649564948078
and more up,0.0004158004359738416
and more with,0.00035739430718060444
and one adjustment,0.00010911755292446779
and save up,0.00046106659661735355
and skin care,0.00021201541188040334
and spa up,0.00010050674947185796
and spa with,0.00010067790669073536
and style up,0.00015975165111723285
and style with,0.00011947357930526646
and tinting session,0.00010477513312413353
and up to,0.0007840208536314157
and wellness center,0.0002453112047072626
antiaging facial at,0.0002315998513183028
any day for,0.00018224559475422895
area six laser,0.00010944685533033014
area up to,0.0004040021308153754
areas up to,0.00027695255651612264
areas with up,0.00025364963625178693
aromatherapy up to,0.0001277009097823578
arthur murray dance,0.00019873277183436128
astaire dance studio,0.00021377894910308833
astaire dance studios,0.00016179183600390258
at 4ever young,0.00018717442772925048
at 645 pm,0.00010779765268518719
at beauty by,0.0001731752728741686
at beverly hills,0.00018743475656309139
at city parking,0.0001996552202921179
at deka lash,0.00016664679028273333
at hair by,0.00019173336503688261
at jack in,0.00014380936913839813
at massage heights,0.00015597094298791097
at mpg parking,0.0001570913423603483
at outback steakhouse,0.0001348641817666954
at pm one,0.00019969320090358335
at salon lofts,0.00010409532782873924
at sky zone,0.00010404916814296753
at up to,0.0003519372056971042
at valvoline instant,0.00018940014096800192
audio driving tour,0.00010644214224856869
automotive window tinting,0.00010658617151611576
available parking at,0.0025744115767528837
available up to,0.00011748928316255323
back at dennys,0.0001064657423560022
back at el,0.00014566046866046098
back at jack,0.00014380936913839813
back at outback,0.0001348641817666954
back at the,0.000340659301980721
back facial at,0.0001205868237753936
bar and grill,0.0001640275783110229
bar cash back,0.00011212315136226572
bar up to,0.00016882376804510833
basic party package,0.00012083909599868398
beauty and wellness,0.000135495960243745
beauty bar with,0.0001084341773431299
beauty med spa,0.000147767119197318
beauty treatments at,0.0001403541495087951
beauty up to,0.0002522037614892117
beverly hills rejuvenation,0.00022619199452970508
bikini waxing at,0.0003346171897560493
bikini waxing session,0.00018404245901031626
bikini waxing sessions,0.0001232242291004274
blend oil change,0.00024942387303997525
blend or full,0.00011065407303808382
blowdry up to,0.00015229475878057494
body contouring with,0.00010238698895122979
body massage at,0.00026129475912282024
body massage with,0.000525392275764476
body sculpting sessions,0.00021968790940167082
book now for,0.00010780519657122249
booking round of,0.0033623271849326825
botox up to,0.00012426105875154407
brake pad replacement,0.0002588490099472155
brazilian bikini waxing,0.0003340066033316817
brazilian butt lift,0.00012073515571495089
brazilian or bikini,0.00045167322009388413
brazilian wax experience,0.0001724996870539949
brazilian wax up,0.0002188042703752887
brazilian waxing session,0.00026802327613809816
brazilian waxing sessions,0.00019177536973731752
brazils waxing center,0.00010644641277141025
brow lamination with,0.00010019752134145731
brows up to,0.00012460842467163722
butt lift at,0.00010391405705577167
by customer at,0.00019475717070598832
cafe cash back,0.00012429389412216057
car care center,0.00011342842594340827
card 50 or,0.0003495847772182572
care up to,0.00020806144518667455
carpet cleaning at,0.00011825515658558625
carpet cleaning for,0.0002605394301451227
cash back at,0.004269347744729974
casual dining 10,0.00011703505005544498
casual dining 15,0.0002112252282385653
center up to,0.00035266559645933483
change at valvoline,0.0001085366439787598
change oil change,0.00010041875189552098
change services at,0.00010546698718053767
change up to,0.0003497566751919937
chemical peel at,0.0001981645854834815
chemical peel up,0.00011473768971854544
chemical peel with,0.00010133581267468427
chiropractic and wellness,0.00011201370488320202
chiropractic consultation exam,0.00014394078458977537
chiropractic package with,0.00010590479443443724
chiropractic services at,0.0001035160154924792
choice of one,0.00018056410106933682
chosen by customer,0.00019072939644052022
city scavenger hunt,0.00010118893463622044
class for one,0.0001638648483663696
class for two,0.00013980153891376214
classes for one,0.00024818689990493346
classes up to,0.000268943977906273
classes with up,0.00015753495737186104
classic eyelash extensions,0.0004709565934761045
classic full set,0.00011315264343693031
classic hybrid or,0.00012939658633718594
cleaning for one,0.00010461932920829281
cleaning for up,0.0001821940746824066
cleaning up to,0.00023512865035364586
clinic up to,0.00010926985809649585
color highlights at,0.0002332326868200923
color highlights roots,0.0001206224739028636
color up to,0.00011255385470134012
conditioning treatment and,0.0001331743235342284
consultation exam and,0.00013414878608604435
consultation up to,0.00016745283980926256
core health centers,0.00013029996867806954
couples massage at,0.00023113285848102796
couples massage with,0.00021384307117259377
course up to,0.00012922713186585752
creek golf club,0.00011896042005449267
creek golf course,0.00011345716892463616
custom lasik eye,0.0001072912579042356
dailyhourly rates available,0.002745326781043822
day for takeout,0.00010974021583552975
day spa with,0.00012279106419555742
deep cleansing facial,0.00020266402228480532
deep conditioning treatment,0.0002353481443922872
deep tissue massage,0.0007524450477173542
deep tissue or,0.0002037245927615549
deepconditioning treatment blowdry,0.00010433699672601623
deluxe body massage,0.00016466921547938408
diamond microdermabrasion treatment,0.0001318102914574364
dining 10 for,0.00014291426902146264
dining 15 for,0.0002641636693657045
dinner for two,0.0001344140297421945
drainage massage at,0.00016593290995704148
drink valid any,0.00014504021336597033
driving audio tour,0.00012123968192494924
dryer vent cleaning,0.00019130324279231618
egift card 50,0.00030818202037431763
egift card to,0.00032288378265912343
elevate your style,0.00011125478410725519
enhance your beauty,0.00016832447149711904
enhance your look,0.00028068329462873205
enjoy up to,0.0011337514379070475
escape room experience,0.00010348364846153075
escape room for,0.0001684341473411208
essential oil and,0.00011204027743215741
esthetics up to,0.00010880484278982627
exam xrays and,0.00013618814972410974
exfoliating facial at,0.00010803696039523293
experience radiant skin,0.00014327501299601133
experience rejuvenation at,0.00020468993385655088
experience rejuvenation with,0.00012922874688349998
experience relaxation at,0.00011752352203986429
experience smooth skin,0.00031489141005278104
experience the ultimate,0.00010558181168221662
experience ultimate relaxation,0.00013666210470762228
experience up to,0.0006647124531108183
experience with up,0.0001341236105572178
extensions enhance your,0.00013308003147900763
extensions transform your,0.00012780027332000353
extensions up to,0.0006206185067502637
extensions with up,0.00016551971532188637
eye surgery for,0.00011992954535904815
eyebrow threading and,0.00010493479219254581
eyebrow tinting at,0.00013784093419776642
eyelash extensions at,0.0008803853505676876
eyelash extensions enhance,0.00012848592109488395
eyelash extensions experience,0.00016316219728485125
eyelash extensions transform,0.0001263013105813399
eyelash extensions up,0.00047175902086480607
eyelash extensions with,0.00037749527880264275
eyelash lift and,0.0002045200712050132
eyelash lift treatment,0.00026353863761422315
eyelash perm at,0.00015000108756902723
eyelash tinting and,0.00016978588636346417
eyelash tinting at,0.00011105946953022332
face and body,0.00021391473455118542
face and neck,0.00028770003635664133
face up to,0.00010499134685937422
facial chosen by,0.00013741296015054927
facial treatments at,0.00011537022893822728
facial treatments with,0.00013967569970838766
facial up to,0.000879180562499632
facial with extractions,0.00012848876828415107
facial with led,0.00012731180669946674
facial with microdermabrasion,0.00016803131166315805
facial with up,0.00010037459700573278
facials offering up,0.0001000539267954567
facials up to,0.0003235195853766693
facials with up,0.0001612797198523121
fat reduction at,0.00013658001570253977
featuring up to,0.0001830044489882499
flights for one,0.0001230137445937295
float therapy session,0.0001199633103596553
fluid art experience,0.00010503626259842308
food and drink,0.00044866037559531714
food and drinks,0.00018529767306639958
foot reflexology massage,0.00019173496994958622
for 20 worth,0.0007241452068513231
for 30 worth,0.0008394959009253932
for 40 worth,0.00013252639251007915
for all ages,0.0001230136240188364
for an unforgettable,0.0001354917086159588
for both eyes,0.00013500274011562957
for face and,0.00020580982723832726
for face neck,0.00014720298030830077
for four people,0.00016632741808236768
for full face,0.00014579194448252438
for glowing skin,0.00023868933956988351
for groups of,0.0001613055426179603
for new clients,0.0002476297994623542
for new customers,0.00011793734904594809
for one area,0.00021534028147540804
for one child,0.00011157731465902914
for one experience,0.00015504493128850602
for one month,0.00010823032512423913
for one or,0.0010042825468404629
for one person,0.000513237038605292
for one two,0.00029720480103327576
for one up,0.00011994417044229083
for or people,0.00016240071449366306
for radiant skin,0.0002987805721212617
for rejuvenated skin,0.00012038338655700227
for select showtimes,0.0011219338410462499
for silky smooth,0.00011559246891491926
for small medium,0.00013729764914100344
for smooth skin,0.00023944599795357969
for smoother skin,0.00011992448441886903
for stunning transformation,0.00010023159129909944
for takeout and,0.00012198215545666413
for two discover,0.00012096692017048112
for two experience,0.00015945066988028574
for two or,0.00038356756203534103
for two people,0.00036267675563848997
for two up,0.0001426163228981407
for two with,0.00017603646847675565
for ultimate relaxation,0.00025295388164395396
for up to,0.0021300041025449
four or six,0.00019095414070981494
four six or,0.00010476556471218914
fred astaire dance,0.00034698501180724557
frequency skin tightening,0.00031030611751375355
front or rear,0.00013920528082179786
full body massage,0.0005385258733168222
full set eyelash,0.00011269893267448126
full set of,0.001446522065859925
full synthetic oil,0.0004481803686982368
gel manicure and,0.0001076248368326267
get smooth skin,0.0001467882432450184
get up to,0.00018211298654813055
glowing skin with,0.0001395995373925064
golf at the,0.0004103088920328642
great wolf lodge,0.0001695418258082632
grill cash back,0.0001835621013789274
guided walking tour,0.00012202691728434298
hair color highlights,0.000381400062494867
hair removal at,0.0003252170810827628
hair removal for,0.00016682510700396098
hair removal on,0.0001214390315813115
hair removal sessions,0.0005578234859492611
hair removal treatments,0.00019868263221929736
hair restoration treatment,0.0001117573224119274
haircut and style,0.0002912939453873689
haircut deep conditioning,0.00011935599175865873
haircut deepconditioning treatment,0.00012559045290561077
haircut up to,0.0001662633179961354
haircut with deep,0.00016325403435573833
haircut with partial,0.00010846668096809162
hairremoval sessions on,0.0006997565154652985
hairremoval treatments on,0.00018329516023685185
haunted pub crawl,0.00010910189290565462
hawaii fluid art,0.00017888148488123194
health and beauty,0.00011122075383833087
health and wellness,0.0003158321714039135
highlights roots at,0.0001206224739028636
highlights up to,0.00018431608692717302
hills golf club,0.00012957019339371372
hills golf course,0.00011797080219605032
hills rejuvenation center,0.0002233946043795082
hot stone and,0.0001881580728723848
hot stone massage,0.00034813464747282096
hot stone treatment,0.000268011555488306
hot stones and,0.0001667461189876071
hot stones up,0.0001468274123816484
hotel stay at,0.0002273955217218989
hours of house,0.00013661745730262446
house cleaning with,0.00013307126763649433
house room cleaning,0.0001168397795601516
hybrid eyelash extensions,0.00026836648391529333
hybrid or volume,0.00014951407264603869
hydrafacial up to,0.00014209486754046945
in las vegas,0.00012333407335092796
in the box,0.0003431826131972832
included up to,0.00011769291565105708
infrared sauna session,0.00020184483567293278
infrared sauna sessions,0.00028779596990863727
injections up to,0.00014253530076648
inspection up to,0.00015167794379141787
