text,value
2-in Convertible,0.0
AV & Security Installation,255.1462
AV Receivers,0.0
Abdominal Trainers,0.0
Academic Courses,4.5356
Accent Chairs,0.0
Accent Furniture,0.0
Accent Tables,0.0
Accessories,0.0
Accessory Storage,0.0
Accounting & Finance,0.0
Acne & Blemish Treatments,0.0
Acne Tools,0.0
Action Cameras & Drones,0.0
Action Figures,0.0
Action Sports,0.0
Activewear,4.1392
Activity Trackers,0.0
Acupuncture,111.48910000000001
Acupuncture & Acupressure,0.0
Adult & Erotic,0.0
Aerobic Stepper,0.0
Africa & Middle East,0.0
African Restaurants,0.0
Aftershave,0.0
Air Conditioners,0.0
Air Conditioning Repair,0.0
Air Duct Cleaning,187.9466
Air Fresheners,0.0
Air Mattresses,0.0
Air Purifiers,0.0
Airport Parking,328.965
Airport Shuttle,0.0
All-in-One,0.0
American Restaurants,39.011199999999995
Amusement Parks,0.0
Anal Beads,0.0
Anal Douches,0.0
Anal Lubricants,0.0
Anal Plugs,0.0
Ankle & Booties,0.0
Ankle, Knee & Leg Support,0.0
Anniversary,0.0
Anniversary Rings,0.0
Antennas,0.0
Anti-Aging & Microdermabrasion,0.0
Antibiotics & Antiseptics,0.0
Antifungal,0.0
Apparel,0.0
Appetite Control,0.0
Appliance Repair,0.0
Appliances,0.0
Arcades,237.0759
Armoires,0.0
Aromatherapy Sets,0.0
Arousal Products,0.0
Art & Drawing Furniture,0.0
Art & Drawing Supplies,0.0
Art Classes,2.2188
Arthritis Gloves,0.0
Arts,30.3885
Arts & Entertainment,0.0
Asia & Pacific,0.0
Asian Restaurants,0.0
Athletic,0.0
Athletic Jackets,0.0
Athletic Underwear,0.0
Attraction Pass,123.50319999999999
Auto Body,0.0
Auto Detailing,297.7566
Auto Repair & Maintenance,0.0
Automotive,0.0
B12 Injection,34.3837
BB & CC Creams,0.0
BBQ Restaurants,0.0
Baby & Kid's Furniture,0.0
Baby & Kids,0.0
Baby Bedding,0.0
Baby Blankets & Quilts,0.0
Baby Carriers,0.0
Baby Health & Grooming,0.0
Baby Safety,0.0
Baby Toiletries,0.0
Baby Toys,0.0
Backpacks,0.0
Backup Batteries,0.0
Bag Accessories,0.0
Bags & Straps,0.0
Baits & Lures,0.0
Bakeries,0.0
Bakeware,0.0
Balance & Recovery,0.0
Balance Bikes & Pedal Cars,0.0
Balance Trainers,0.0
Balloons,0.0
Bandages & Gauze,0.0
Bands,5.999
Bangle,0.0
Bar Food,0.0
Barber Shop,10.25
Bars,13.737
Bars & Barstools,0.0
Base Layers,0.0
Baseball,0.0
Baseballs & Softballs,0.0
Basic,2.1996
Basketball,0.0
Bath & Body,0.0
Bath & Shower,0.0
Bath Accessories & Sets,0.0
Bath Bombs,0.0
Bath Houses,268.341
Bath Rugs,0.0
Bath Safety & Storage,0.0
Bath Salts & Soaks,0.0
Bath Towels,14.4277
Bath Toys,0.0
Bathrobes,0.0
Bathroom,0.0
Bathroom Remodeling,0.0
Bathroom Scales,0.0
Bathroom Storage,0.0
Batting Cages,0.0
Beach Towels,0.0
Beach Vacations,222.604
Bedding,0.0
Bedroom Design,0.0
Bedroom Furniture,0.0
Beds,0.0
Beds & Mats,0.0
Beer & Liquor,0.0
Behavioral Aids,0.0
Belts,0.0
Belts & Suspenders,0.0
Bibs & Burp Cloths,0.0
Bidet & Toilet Seats,0.0
Big City Vacations,80.8238
Bike & Segway Rentals & Tours,0.0
Bike Accessories,0.0
