bigram,tfidf
10 class,2.824692068954497e-05
10 classes,2.442931024002618e-05
10 for,0.0003649211244575501
10 inch,2.386097022868228e-05
10 minute,3.019485521000114e-05
10 off,0.00023200837733980094
10 or,0.00010828067850840483
10 people,8.099593939990631e-05
10 pro,3.0595550039675754e-05
10 sessions,2.4859241140729753e-05
10 toward,4.9311002853197465e-05
10 units,2.7604604332304714e-05
10 yoga,2.4730987178431067e-05
100 chiropractic,2.9043757108669804e-05
100 cotton,6.858686514293239e-05
100 egift,8.759166904700314e-05
100 gift,6.334637254467448e-05
100 off,3.2733116326106665e-05
100 or,4.1667600339516834e-05
100 restaurant,0.00015118190402009434
100 toward,3.751200585619828e-05
100 towards,4.7676886640447763e-05
100 units,9.046737528817352e-05
100 value,2.5830608862604328e-05
100 voucher,2.0688241972284422e-05
100 worth,2.951894652336464e-05
1000 off,5.573996407686217e-05
10k gold,2.09086918496174e-05
10x20 canvas,2.4257526660615426e-05
11 off,4.62772303703591e-05
11 pro,9.45347662255956e-05
12 off,2.361681564248659e-05
12 or,3.254761156977071e-05
12 pack,3.591073135258256e-05
12 people,4.1126028061415854e-05
12 pro,6.781918954817652e-05
120 minute,3.0519332827608956e-05
120 minutes,2.7073041451030955e-05
120 units,3.1618288896823206e-05
1250 for,4.894033880636461e-05
13 off,2.1548538230167017e-05
13 pro,7.722845081438846e-05
14 off,2.691930087988955e-05
14 pro,6.440723715181721e-05
14k gold,5.4866577240137525e-05
15 at,2.1050193542118316e-05
15 for,0.00042439759697284813
15 hour,2.2120854406901676e-05
15 minute,3.685853281828463e-05
15 off,0.00010670131019730829
15 or,3.760107527812495e-05
15 pro,5.213323598237228e-05
15 toward,3.058139841371831e-05
15 towards,2.186422387358902e-05
150 value,3.519114992495627e-05
15minute hydroluxe,2.6047171938059794e-05
16 off,4.3464402756438676e-05
16 people,2.9568629478587865e-05
16 pro,2.4952939488155163e-05
17 off,3.5281089764978826e-05
18 holes,3.7688328790745724e-05
18 inch,3.471413240290867e-05
18 off,3.510464465702129e-05
1800 series,2.1165273275193844e-05
18hole round,2.4286316263667972e-05
18k gold,4.842957278435305e-05
19 off,0.00012131820117018224
20 30,2.9761956022269994e-05
20 40,5.752875391497339e-05
20 for,9.749003627612994e-05
20 minute,2.9526517591385233e-05
20 off,0.00047994984639620233
20 or,0.0002124815583120859
20 to,2.344457683127242e-05
20 toward,7.094088022078125e-05
20 towards,4.094897397070485e-05
20 units,0.0004866261238546571
20 value,3.7771464797763586e-05
20 voucher,2.8448898683146982e-05
20 windows,2.3139948668360298e-05
20 worth,0.00037368437131520997
200 toward,2.4015266279260092e-05
200 towards,2.0750226665771933e-05
2021 mac,2.2652792628824276e-05
2021 professional,3.2019221694672304e-05
2024 professional,2.4537583880336298e-05
2025 at,4.417763505312505e-05
21 off,0.00016395002172392225
22 off,9.388282971372586e-05
23 off,0.00010347805117304772
24 hour,3.120367644241656e-05
24 off,0.0001445910609510034
24k gold,7.033637920564085e-05
25 50,2.6748034062358296e-05
25 for,4.111451553754002e-05
25 off,0.0006414980990138479
25 or,3.045192245101748e-05
25 toward,2.1271347467661777e-05
25 towards,2.257384825162344e-05
25 worth,5.7175942682281106e-05
26 off,0.00015822925401889326
27 off,0.00014161251328343556
28 off,0.00048092824537968764
29 off,0.00017979232684879026
30 60,4.287324034844922e-05
30 for,3.2211759850550726e-05
30 min,0.00011132578798685446
30 mins,2.0467029784643602e-05
30 minute,0.00026575610787268325
30 minutes,9.090374748250708e-05
30 off,0.0010562400270220478
30 or,0.00018389069768810678
30 to,2.9843376758365607e-05
30 toward,4.9225639015359525e-05
30 towards,2.4856781376077394e-05
30 units,4.263622340169121e-05
30 worth,0.0004162690799817161
30minute custom,2.0129788940153546e-05
