,bigram,tfidf
0,10 class,
1,10 classes,
2,10 for,
3,10 inch,
4,10 minute,
5,10 off,
6,10 or,
7,10 people,
8,10 pro,
9,10 sessions,
10,10 toward,
11,10 units,
12,10 yoga,
13,100 chiropractic,1.1617502843467922e-07
14,100 cotton,4.1152119085759433e-07
15,100 egift,
16,100 gift,
17,100 off,
18,100 or,
19,100 restaurant,
20,100 toward,
21,100 towards,
22,100 units,7.237390023053882e-07
23,100 value,
24,100 voucher,
25,100 worth,
26,1000 off,
27,10k gold,1.254521510977044e-07
28,10x20 canvas,
29,11 off,
30,11 pro,
31,12 off,
32,12 or,
33,12 pack,
34,12 people,
35,12 pro,
36,120 minute,4.2727065958652537e-07
37,120 minutes,
38,120 units,
39,1250 for,
40,13 off,
41,13 pro,
42,14 off,
43,14 pro,
44,14k gold,2.6335957075266015e-06
45,15 at,
46,15 for,
47,15 hour,
48,15 minute,
49,15 off,
50,15 or,
51,15 pro,
52,15 toward,
53,15 towards,
54,150 value,
55,15minute hydroluxe,
56,16 off,
57,16 people,
58,16 pro,
59,17 off,
60,18 holes,
61,18 inch,
62,18 off,
63,1800 series,
64,18hole round,
65,18k gold,2.905774367061183e-07
66,19 off,
67,20 30,
68,20 40,
69,20 for,
70,20 minute,
71,20 off,
72,20 or,
73,20 to,
74,20 toward,
75,20 towards,
76,20 units,
77,20 value,
78,20 voucher,
79,20 windows,
80,20 worth,
81,200 toward,
82,200 towards,
83,2021 mac,
84,2021 professional,
85,2024 professional,
86,2025 at,
87,21 off,
88,22 off,
89,23 off,
90,24 hour,2.496294115393325e-07
91,24 off,
92,24k gold,4.2201827523384505e-07
93,25 50,
94,25 for,
95,25 off,
96,25 or,
97,25 toward,
98,25 towards,
99,25 worth,
100,26 off,
101,27 off,
102,28 off,
103,29 off,
104,30 60,
105,30 for,
106,30 min,
107,30 mins,
108,30 minute,
109,30 minutes,
110,30 off,
111,30 or,
112,30 to,
113,30 toward,
114,30 towards,
115,30 units,
116,30 worth,
117,30minute custom,
118,30minute electrolysis,
119,30minute facial,
120,30minute foot,
121,30minute infrared,
122,30minute lymphatic,
123,30minute massage,
124,30minute private,
125,31 off,
126,32 off,
127,33 off,
128,34 off,
129,35 off,
130,36 off,
131,365 for,
132,365 pro,
133,37 off,
134,38 off,
135,39 off,
136,3d 4d,
137,3d body,3.917702032901534e-07
138,3d lash,
139,3d microblading,4.872740318126843e-07
140,3d volume,
141,3quest challenge,
142,40 discount,
143,40 for,
144,40 minute,
145,40 off,
146,40 or,
147,40 toward,
148,40 towards,
149,40 units,5.1007986921264e-06
150,40 worth,
151,41 off,
152,42 off,
153,43 off,
154,44 off,
155,45 min,
156,45 minute,
157,45 minutes,
158,45 off,
159,45 or,
160,45minute infrared,
161,45minute salt,
162,46 off,
163,47 off,
164,48 off,
165,49 off,
166,4ever young,1.16502719195968e-05
167,4wheel alignment,
168,50 discount,
169,50 egift,
170,50 for,
171,50 gift,
172,50 min,
173,50 minute,
174,50 minutes,
175,50 off,
176,50 or,
177,50 savings,
178,50 toward,
179,50 towards,
180,50 units,
181,50 value,
182,50 voucher,
183,50 worth,
184,50minute couples,
185,50minute custom,
186,50minute deluxe,
187,50minute massage,
188,50minute swedish,
189,51 off,
190,52 off,
191,53 off,
192,54 off,
193,55 off,
194,56 off,
195,57 off,
196,58 off,
197,59 off,
198,60 90,
199,60 min,8.760760463688e-07
200,60 mins,
201,60 minute,9.301879167497002e-06
202,60 minutes,
203,60 off,
204,60 or,
205,60 to,
206,60 units,1.3614608951300002e-06
207,60min swedish,
208,60minute acne,
209,60minute acupuncture,
210,60minute antiaging,
211,60minute axe,
212,60minute back,
213,60minute body,
214,60minute couples,
215,60minute custom,
216,60minute customized,
217,60minute deep,
218,60minute deeptissue,
219,60minute deluxe,
220,60minute dermaplaning,
221,60minute european,
222,60minute exfoliating,
223,60minute facial,
224,60minute facials,
225,60minute float,
226,60minute foot,
227,60minute full,
228,60minute fullbody,
229,60minute hot,
230,60minute hyperbaric,
231,60minute infrared,
232,60minute inoffice,
233,60minute jump,
234,60minute lymphatic,
235,60minute massage,
236,60minute massages,
237,60minute microdermabrasion,
238,60minute moisturizing,
239,60minute or,
240,60minute outdoor,
241,60minute oxygen,
242,60minute prenatal,
243,60minute private,
244,60minute reflexology,
245,60minute reiki,
246,60minute relaxation,
247,60minute session,
248,60minute sessions,
249,60minute signature,
250,60minute swedish,
251,60minute therapeutic,
252,61 off,
253,62 off,
254,63 off,
255,630 pm,
256,64 off,
257,645 pm,
258,65 off,
259,66 off,
260,67 off,
261,68 off,
262,69 off,
263,70 off,
264,71 off,
265,72 off,
266,73 off,
267,730 pm,
268,74 off,
