trigram,tfidf
10 20 or,1.5810122211160167e-05
10 b12 injections,1.0773842811674726e-05
10 for 20,0.00034933683251561597
10 minute oil,1.6994945684485646e-05
10 off for,2.136793616173509e-05
10 off on,6.52272212192191e-05
10 or 15,1.681333969408759e-05
10 or 20,4.403666153207685e-05
10 people at,2.22355890038623e-05
10 people basic,2.5384824509235246e-05
10 toward food,2.3948509428591733e-05
10 units of,1.960162930745662e-05
10 worth of,1.772625461667024e-05
10 yoga classes,1.835888401086555e-05
100 chiropractic up,1.102889597305736e-05
100 egift card,9.335255218407317e-05
100 egyptian cotton,1.4804384247470441e-05
100 gift card,5.082676944659016e-05
100 or 150,1.2660974968841743e-05
100 or 200,1.4087049689124018e-05
100 or 50,1.0371788654085063e-05
100 restaurant egift,0.00015773580665133567
100 toward any,1.4021984354997876e-05
100 towards food,1.6298244187459805e-05
100 units of,6.573845581754254e-05
100 value towards,1.0042509089831605e-05
100 worth of,2.732561694078986e-05
1000 off custom,5.087458903207861e-05
1000 thread count,1.2185623606059799e-05
10x20 canvas fluid,2.497266690368562e-05
11 pro max,3.243408439570351e-05
12 paintball passes,1.2797541649524952e-05
12 pro max,4.4789111183177696e-05
120 units of,2.538013243674016e-05
123 marietta st,1.3587800571617773e-05
1250 for 25,4.33300294123573e-05
13 pro max,4.493120679779902e-05
14 pro max,3.28786616333307e-05
14k gold earrings,1.0994965195712912e-05
15 30 or,1.2342995707491457e-05
15 at pm,1.4416166507324639e-05
15 for 30,0.00040880462985243564
15 off on,2.0232488431696153e-05
15 or 30,1.291276568464402e-05
15 pro max,2.8341397207006668e-05
15 toward food,1.562318193837879e-05
150 gift card,1.5047520125212231e-05
150 units of,1.3254831545901383e-05
150 value for,1.8867417218399366e-05
150 worth of,1.5093525139412377e-05
15minute hydroluxe session,1.781716972679678e-05
16 people at,2.7269865092177065e-05
16 pro max,1.7500890808894916e-05
18 holes of,2.1447917188345753e-05
18 inch necklace,1.8440476530347815e-05
18 off on,1.0858535052906918e-05
1800 thread count,1.76156350844566e-05
18hole round of,2.0016198387874365e-05
18k gold plated,3.071234926154847e-05
18k white gold,1.839746112597128e-05
18k yellow gold,1.1898672728773822e-05
19 off on,7.468000814163023e-05
1ml syringe of,1.234344773685971e-05
20 30 or,1.4436664473649777e-05
20 40 or,4.752983018876176e-05
20 for 40,6.678342609328076e-05
20 off for,5.4087778351589614e-05
20 off on,0.00010513905847662278
20 or 30,1.2370982385246991e-05
20 or 40,0.00016872684617896165
20 to spend,1.3525756822190553e-05
20 toward food,3.5427058660367225e-05
20 towards food,1.6365688313597962e-05
20 units of,0.0004180598581817005
20 value towards,1.5927377380082362e-05
20 worth of,0.0003658359639500006
200 dollar bill,1.4320762327289751e-05
200 gift card,1.416188348626305e-05
200 square feet,1.55583101801866e-05
200 worth of,1.0086340180368534e-05
2000 and newer,1.0671965836997683e-05
2021 professional plus,1.813078942199023e-05
2024 for mac,1.2436299322659878e-05
2024 professional plus,1.8539663694116558e-05
2025 at pm,3.673182651056732e-05
2025 up to,1.2164653993483663e-05
20pack of vitamin,1.077651337972847e-05
21 at pm,1.3013831004960286e-05
21 off for,2.2132492095911245e-05
21 off on,2.494524637430264e-05
22 at pm,1.2595461104641701e-05
22 off for,1.0243730838488814e-05
22 off on,1.5209163804392128e-05
23 off for,1.1881093011773358e-05
23 off on,2.21816674187513e-05
24 off for,1.4199054472046988e-05
24 off on,4.5725310156346874e-05
247 natural wellness,1.6294954869803988e-05
24k gold plated,2.810509013988244e-05
25 50 or,1.983432852573825e-05
