text,tfidf
00,0.0006358660342985576
000,0.00022388268694191894
00020b,1.1529463603995462e-05
000mah,5.825681280399904e-05
000mg,3.207870675181725e-05
00ct,4.0010227962518875e-05
00pm,4.262702382825535e-05
01,8.838843371924828e-05
02,4.236989715360101e-05
03,3.2609860484291614e-05
04,3.327167690941868e-05
04oz,2.4358797333176957e-05
05,3.828440831671782e-05
06,2.563341346350608e-05
07,3.233583438828023e-05
08,1.4989723172874179e-05
0mm,1.1402480459237984e-05
0oz,5.871800525940337e-05
10,0.004804410940572812
100,0.0025117664568842734
1000,0.0002621972909875341
10000,3.5044298259841445e-05
10000mah,3.8690357835538534e-05
1000mg,3.388910064993143e-05
1000ml,1.0962647262834155e-05
1001,3.327454400998608e-05
100ft,2.073828001998909e-05
100ml,0.0001784428723256766
100pcs,3.891460685288527e-05
100th,2.795748732403318e-05
100w,1.2167396407755332e-05
101,0.00019643504335539462
102,1.2990307746026183e-05
1023,1.141546943640391e-05
103,1.1700161254418221e-05
1030,1.3367000709192917e-05
105,3.8908014615249495e-05
106,1.9703066861963744e-05
107,3.2757864491861524e-05
108,1.972655726584011e-05
1080,1.3366988552046462e-05
1080p,7.591312341387232e-05
109,1.9465432969924047e-05
10d,2.492678991054886e-05
10ft,7.699017948313503e-05
10k,0.0002798003526046849
10l,1.116525933843525e-05
10mm,4.823987310339939e-05
10oz,1.780858116938554e-05
10pc,1.452566046323904e-05
10pcs,5.745882975962423e-05
10pk,1.4426464131782958e-05
10pm,1.5178622209404143e-05
10th,8.953580457894927e-05
10w,1.218791836265601e-05
10x,1.2846576978182725e-05
10x10,1.982651388640751e-05
11,0.0008711752316181263
110,9.190626459719676e-05
1100,2.817313141886947e-05
1101,1.9011491068942042e-05
110v,3.0838495906362394e-05
111,3.209247548366691e-05
1110,1.3402374405754214e-05
1111,1.889616247419129e-05
1112,1.3886971507516892e-05
112,2.2010962541544944e-05
115,3.894481368680615e-05
116,2.416736012084475e-05
118,2.8679306265814597e-05
119,6.758779242289087e-05
11mm,1.5634901421781507e-05
11of11,1.1598061469774542e-05
11th,3.8717693531809214e-05
11x17,1.0993467736796031e-05
12,0.0024118231294549823
120,0.0007223171651358091
1200,7.286679440250979e-05
12000,1.0653616797122997e-05
1200mah,1.807273088902721e-05
1201,3.9084642057326306e-05
120v,1.1204822209918446e-05
121,1.545287073893068e-05
