text,tfidf
zz,2.022282107093071e-07
zuri,1.3210686720074099e-07
zumba,0.000206771851497899
zoso,1.04041926928676e-07
zoroaster,3.870005084471486e-07
zoom,0.00062652022577842
zoo,0.014175392607838655
zonenee,1.1373532851644734e-06
zone,1.5373646648622e-05
zombie,4.3063746663326996e-05
zoe,1.2732657356077058e-06
zodiac,2.0741184457659156e-06
zo,3.249875291297545e-06
ziplining,8.639923669671236e-05
ziplines,2.3195650687973003e-05
zipline,0.003231481399847855
zip,0.000281881873169722
zion,6.996639536700801e-05
zig,2.4537906802386454e-06
ziebart,3.874589348968528e-06
zerona,4.2003786644854004e-05
zero,2.4111341152559998e-05
zenthreading,1.0621958315180341e-06
zeno,6.916589355599731e-06
zenbella,9.579481344244436e-07
zen,7.916086956859299e-05
zelda,5.7057791201970225e-06
zeka,6.091906396807675e-07
zaza,2.4419426634351663e-07
zara,3.043996694045712e-07
zaks,1.7148976438720534e-07
zahedi,4.0322498486410893e-07
yves,9.560049427926373e-07
yurt,5.733454166151845e-07
yuma,1.121581901418564e-06
yukon,4.770461803164084e-07
yuki,9.687740030314946e-07
yudy,1.5875206234618259e-06
ysl,8.312116274169752e-06
youthology,1.751264199701457e-06
youth,1.4742067073987998e-05
your,0.00111491523481293
young,3.0627840352188e-05
you,0.00020665349923273903
yoshiflash,8.058763886948427e-07
yoshi,2.2811209556780143e-06
yosemite,0.0002539321226580396
yorktown,1.0856804296907379e-06
york,0.000219466378669945
yoo,3.624042222291109e-07
yonkers,2.1880688573326377e-06
yoni,0.00015792072568299997
yolo,9.999092333258407e-07
yogurt,2.1597730095662e-05
yogi,8.674659301962043e-07
yogasix,4.420419320658207e-06
yoga,0.0625358578654413
yofi,2.41821120873223e-07
ymca,3.1890144820994174e-05
yli,5.129073002697826e-07
yj,1.3418496590066715e-06
yin,2.3725735297006296e-06
yess,1.4690515628707243e-06
yellowstone,0.000105057969612989
yellow,1.9504015402367998e-05
years,6.360698430036e-06
year,8.048536921085e-06
ye,2.5544518865697826e-06
ybor,3.201408095389827e-07
yaya,6.848094292998142e-07
yasso,5.451329463581788e-07
yarn,4.46019515143582e-06
yard,5.2648904983653e-05
yankees,6.976176969444854e-06
yankee,3.1595953295742114e-06
yangs,5.837603561400491e-07
yan,1.6478249963831293e-06
yamaha,1.3107898863889524e-06
yag,4.7601872726189305e-06
yachts,5.048951326169408e-06
yacht,0.0024400569767997283
xxl,2.1511767447354132e-06
xtremehopp,3.463566614251735e-07
xtreme,4.96822962384e-05
xtf,2.9694446592640797e-06
xray,7.326589928224e-06
xplor,2.1759935788298134e-06
xperience,2.617160515448997e-06
xoxo,4.6934663951056434e-07
xmas,6.7940200150599995e-06
xing,3.8329433570399215e-07
xeomin,0.015796689947126366
xel,4.2871594236136404e-07
xclusive,3.4287370706494614e-07
xcaret,1.415094380980998e-05
xcape,6.452204933488369e-07
xbox,4.062193992397914e-05
xanadu,4.394942209726726e-06
x10,2.4363957309177085e-07
wyze,2.8074587742065353e-05
wyoming,2.8030866778356554e-07
wynwood,3.2936011231526354e-05
wyndham,9.571174597209599e-05
wwii,1.58308655519275e-06
wwf,2.0475078516516374e-07
writing,2.315591154765e-05
wrinkles,9.349901474553e-05
wrinkle,0.00020539594631439
wrestling,2.5930260587475793e-05
wrench,1.223156650858445e-06
wreck,2.7212948586185063e-06
wreath,2.764387830495289e-06
wraps,1.7670505479948e-05
wrap,0.000141922617058764
wow,3.6366791955145e-05
worldwide,1.1004883983133367e-06
worlds,3.487216305503575e-06
worldmark,3.3822684660607873e-06
world,0.000304684515446259
workspace,2.976597765396488e-07
workshops,1.397963362848303e-05
workshop,0.00010579057467897598
works,1.3955976647204e-05
workouts,2.6391016382496e-05
workout,0.001741662408742086
work,3.2398159351932e-05
word,2.7985677883160054e-05
worcester,1.0413238924321837e-06
wool,5.827235297540001e-06
woodward,2.759121752711895e-06
woodstock,3.6142453738664954e-06
woods,4.673650280664e-06
woodlands,6.695723978045324e-07
woodland,1.4813674063409988e-06
woodinville,6.210955449752336e-07
wooden,6.849605782003999e-06
woodbury,1.178680414657932e-05
woodbridge,1.066517766846524e-05
wood,0.00042676639626918806
woo,8.04960411103957e-07
wonderspaces,7.099622754849629e-07
wonderland,6.368717715097338e-05
wonder,1.9326989518288415e-05
womens,0.00019425148174574802
women,0.009224542408689059
woman2woman,6.812762741011318e-07
woman,3.7064253250786e-05
wolf,0.004483623180343808
wok,1.6527786121296077e-06
wizards,1.9117389305277403e-06
wizard,4.573247268692e-06
wiygul,1.5598199985374396e-06
wits,2.6403631598720416e-06
witches,1.0186615774109143e-06
witch,4.039091090800741e-05
wispy,2.530796037772917e-06
wisdom,9.078750587817816e-06
wisconsin,6.495862805475817e-05
wire,5.481308579087999e-06
wiper,1.8888171016636242e-07
winter,0.00022456708855468798
wink,1.294824761386815e-05
wings,0.00023430807091101298
wingate,1.503324751247516e-06
wing,8.688151740302136e-07
wines,7.0144639625256e-05
winery,0.007323218974853859
wineries,9.204114013437379e-05
wine,0.046008252114920795
windy,1.8761406658847792e-07
windsurfing,6.055210661606331e-07
windsor,2.3752878626789974e-06
windshield,0.001017488702863886
winds,5.01657529840436e-07
windows,0.001929712729609854
window,0.002299535874045086
winder,1.0886597985580516e-07
wind,5.8389487804667e-05
wilmington,2.820413731063757e-05
wills,7.149605466344229e-07
willowbrook,3.833195023368324e-07
willis,3.318306486389993e-06
williamsburg,0.00023852917787741104
williams,9.294362459904358e-06
willamette,2.0910251774268603e-06
will,1.767967843403061e-05
wildwest,6.47245987744132e-07
wildlife,0.00013940535033656398
wildflower,6.715615743054942e-06
wildfire,1.6444470894046242e-06
wilderness,5.571846726716981e-05
wild,0.000955437201049935
wii,6.222130113375701e-07
wigwam,4.723167799787292e-07
wigs,4.304373266926364e-06
wig,3.441236044128e-05
wifi,2.0581465319550003e-05
wife,7.571437799564009e-07
wiener,2.0537106360466353e-07
wicker,3.334729968645e-06
wicked,0.00010219236332976673
wichita,1.9041008836514029e-06
wi,4.974916591674e-06
wholesale,4.694644054504082e-06
wholefrog,9.55462755111531e-07
whitney,1.2762050926726546e-05
whitewater,6.4415981276478e-05
whitestone,1.385630873588885e-07
whitening,0.00249186264648775
white,0.000513473308808114
whispering,3.830182285080933e-07
whiskey,0.00019599070769008202
whirlyball,9.624167661736044e-07
where,5.138036503013974e-07
wheels,6.243472450231301e-05
wheeling,1.9419818041339653e-06
wheeler,9.186550971840786e-06
wheelchair,1.4346394706608553e-06
wheel,0.0013967449198187278
wheaton,4.529446158083089e-07
what,7.956931017333364e-07
wharf,7.454641842641758e-07
whall,2.037507860147788e-06
whales,9.097423854608403e-06
whale,0.002998148778205425
wexford,1.5525240460473171e-06
wet,3.5988975117660006e-06
westwood,1.8204642889828841e-06
westport,4.145039711955179e-06
westminster,2.1875002995055213e-06
westlake,4.211722805029616e-06
westin,3.27257767097967e-05
westgate,1.6539877829427155e-05
western,5.6205060017679996e-06
westchester,5.369486080211346e-06
westbahn,5.156835278093623e-07
west,6.965924223037999e-05
wesam,5.32177942591077e-07
wendy,3.1963187500589576e-06
wellspa,3.4502588843140973e-07
wells,1.4533891983636727e-06
wellpath,3.558184300893577e-07
wellness,0.010481115279998114
wellington,3.4199591397585777e-06
well,9.810490383408001e-06
welding,3.7045730811068652e-06
weird,1.4403742560254063e-06
weightwatchers,7.116075976965595e-07
weights,1.1700207529972258e-05
weightloss,0.0006592841988407352
weighted,4.626214869316604e-06
weight,0.010810562592205378
weigh,5.7696367856622e-06
wei,2.149148001545764e-06
weekender,2.2411406866040645e-06
weekend,8.061373267678499e-05
weekdays,2.5579709691058875e-06
weekday,7.839283416465e-06
weedwacker,3.157354218341133e-07
weedology,2.479982328571021e-06
weed,1.7503046772180443e-05
wednesday,5.0902519278154e-07
wedge,3.3259753644760867e-06
weddings,7.361637189760498e-06
wedding,0.0018673871913232499
webster,5.783620613324146e-07
website,1.2486393776476364e-05
web,5.587142187105e-06
weave,8.808050806968e-06
weather,5.260771456185898e-06
weapon,3.7110647143844103e-06
we,4.1196820706839995e-06
wb,3.9211889372436034e-07
wayne,4.57123319178309e-06
way,4.763929578583e-06
waxology,9.960356732933883e-07
waxing,0.1140304818885714
waxes,5.115601953448e-05
waxed,1.5009567521481083e-06
wax,0.14090607801272279
waverunner,7.57381702645536e-06
waverly,5.531156036925056e-07
wave,2.4481808391722e-05
wausau,9.269833518062717e-07
waterways,8.399568286326871e-07
waterway,5.337117209252584e-07
waterwall,3.5831967672766857e-07
watersports,2.7850155046797998e-05
watersport,2.3706871482367648e-06
waterslide,4.424244685493282e-06
