query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
spa;38002;0.006;690;20720.312833786;0.612031098;0.029316703;706775;653;18710.961338758;0.3129;121464;33855
massage;115540;0.013;4007;108192.884253025;1.408596444;0.059844275;1807907;3773;101298.188989639;0.3761;307171;76809
las vegas;3863;0.001;14;197.156902671;0.059170739;0.001675194;117692;11;190.055202484;0.2379;16238;3332
hotels;19763;0.001;111;3373.86169529;0.242305494;0.008196286;411633;119;3827.400901794;0.2565;77051;13924
hotel;30772;0.002;212;5954.822209835;0.2766725;0.010626666;560366;217;5963.53711319;0.3063;100462;21523
course;387;0.018;21;110.095899701;0.604922526;0.012250573;8987;21;110.095899701;0.3291;1176;182
couples massage;46587;0.016;1139;48849.036121368;3.513604709;0.157999355;578047;1063;45420.317215919;0.445;104698;23934
couple massage;12609;0.01;257;10726.967868686;3.061941783;0.073833967;145285;245;10227.74507308;0.5025;25091;6323
body scrub;759;0.009;17;405.207698941;0.765988089;0.035632052;11372;15;357.213898778;0.3855;1969;529
zz spa;53;0.01;1;11.977000237;0.26036957;0.03210992;373;1;11.977000237;0.5464;97;46
zz day spa;42;0.007;1;41.537998199;0.847714249;0.052183415;796;1;41.537998199;0.2958;142;49
zz;95;0.053;9;314.649991989;2.458203062;0.859699432;366;9;357.216989517;0.5588;170;128
zumba classes;18;0.0;0;0.0;0.0;0.0;408;0;0.0;0.24;75;11
zumba;79;0.005;2;9.081100225;0.053418237;0.005892992;1541;2;9.081100225;0.1985;398;170
zoom whitening;362;0.009;11;483.72350502;1.530770586;0.087599331;5522;11;512.723703384;0.3068;1180;316
zoom teeth whitening;139;0.013;6;311.805202484;2.455159075;0.118602207;2629;3;117.882499695;0.2932;474;127
zoom teeth;48;0.005;1;46.616199493;0.554954756;0.04110776;1134;1;46.616199493;0.2212;217;84
zoom;223;0.011;10;618.222295761;1.411466429;0.166010284;3724;10;618.222295761;0.2451;910;438
zoo tampa;53;0.0;0;0.0;0.0;0.0;828;0;0.0;0.3136;169;75
zoo miami;73;0.011;2;24.859699249;0.256285559;0.024206134;1027;3;48.172100067;0.3822;191;97
zoo atlanta;38;0.004;1;9.223199844;0.102479998;0.004791273;1925;1;9.223199844;0.1407;270;90
