text,tfidf
00,6.358660342985e-06
10,0.0003843528752458
100,0.0005274709559456
1000,2.3597756188875e-05
105,1.5563205846099795e-06
1080,4.010096565613939e-07
1080p,4.554787404832339e-06
10d,4.985357982109772e-07
10k,1.399001763023e-05
11,0.0005662639005517
112,1.5407673779081462e-06
115,3.894481368680615e-07
12,0.0010612021769601
1201,1.1725392617197891e-06
123,4.882496728487826e-07
124,2.4511631935933387e-06
128,1.0342876021915562e-06
12v,1.017831979946e-06
13th,4.903966453473696e-07
14k,8.917964504028e-05
14kt,3.2252200341199705e-06
17,4.849327420225e-06
18,9.3656926226538e-05
180,2.816423162954e-06
1800,4.1740698699172e-05
1800 flowers,9.272035696427261e-05
1880,5.566668130110693e-07
18k,2.1397412796512e-05
190,1.834032387098376e-07
199,3.247550186388e-06
20,0.000179289771621
200 custom photo cards,0.00017749687390479
2010 microsoft,0.00017749687390479
2015,4.0492850490195905e-07
2019,8.910074201376e-06
2021,1.174912022364e-06
2024,1.8671385167504e-05
2025,6.7886923684824e-05
205,3.910613339635693e-07
21,5.9465659351295e-05
212,1.2482724773112276e-06
221,1.1735035007130197e-06
23,7.533598292746001e-06
24,0.0002403005641076
2712,1.4045937234987924e-06
275,5.396783419456511e-07
2ct,3.1261122695806656e-06
2d,6.556802531165207e-07
3000,1.6052823958194185e-06
311,2.6377529510130317e-06
32,8.604891811338e-05
333,2.458907149376456e-06
360,0.0006490527283904
365,2.871494732188002e-05
3ct,8.75635824995389e-07
3d,0.0001323029790758
3ds,1.948076822324529e-06
420,2.5661472154508783e-06
4d,8.88568587239e-06
4ever,3.4540908994854e-05
500,1.400349177283e-05
5xl,6.69157748597956e-06
600,1.64458465917914e-06
601,7.147577367540909e-07
70,5.3250965027364e-05
702,7.14160430414632e-07
75,5.7837401534189994e-05
750,9.587524121862005e-07
7d,1.6875340733707952e-06
80,4.7683594526649e-05
800,7.888722049000493e-06
801,1.204868804410557e-06
810,9.614200077551452e-07
85,3.3339989995376e-05
8x10,8.229908236044589e-07
8x8,2.315962238124982e-07
90,0.0014004745949686
911,1.3782886659378754e-05
925,2.1043123807818e-05
99,3.709153910132e-06
9round,4.163339029003238e-06
a1,2.2448007530742244e-06
aa,4.69458902436e-06
aa batteries,4.6476431341164e-06
aaa,0.0007202698459728
aag,2.927141585124894e-06
ab,1.9021809835620529e-06
abbey,1.7185577769183508e-07
abc,1.4410380859092664e-05
abdominal,1.9501116730430827e-06
abeo,2.142957538419481e-07
ablative,1.2853079260723575e-06
abloom,1.575929474806557e-07
abs,1.7257548404057e-05
absolut,2.114177885048961e-06
absolute,8.28074342136e-06
ac,0.0001569044412777
aca,2.685570563101823e-07
acacia,1.037102136435e-06
academy,0.0001800592636002
acadia,3.399429214694012e-06
acai,4.722366511649171e-06
acapulco,1.608761641601304e-06
accel,6.851544206609958e-07
accessories,1.7121310895094e-05
accolades,2.1102803705519933e-06
account,2.847392461800402e-06
accounting,7.435664758918305e-06
accupuncture,0.00015533539686492302
ace,1.2969175532027457e-05
aceable,1.914267178793536e-05
aceableagent,2.2393755242990707e-06
ache,2.3105269824862195e-07
acne,0.0032900546862451
acne facial,0.003257154139382649
acorn,3.016159202935008e-07
acqua,5.504385578343468e-06
acres,2.298288625361263e-06
acrylic,0.0004264551744402
acrylics,9.56165679459094e-06
act,1.701356470975873e-05
acting,5.995770441422866e-05
action,2.6303811163639996e-05
activate,4.887987374424174e-05
active,1.8866955979403e-05
activewear,3.801206745632884e-07
activities,0.003943003630211
activity,0.0006569195202411
acu,1.2364555166067312e-05
acupressure,6.722441363291501e-05
acupuncture,0.0330512191799315
adagio,8.433772684386158e-07
adam,5.520420619736841e-06
add,1.0601574290989e-05
addict,3.40283439545723e-07
addiction,3.1159809783372637e-06
address,6.475084998270056e-06
adhd,1.260293768668449e-07
adidas,7.009178193423331e-05
adirondack,4.940816788512156e-06
adjustment,0.0002130492963336
adjustments,0.0002287005517318
admission,0.0003936783151382
adobe,0.0001305963657161
adodd,1.48358949010412e-06
adolfo,3.095690559258e-06
adore,3.188857613472e-06
adorn,8.485741242597978e-07
adrenaline,7.3510001733725e-05
adult,0.0026793394980068
adult entertainment,0.002652546103026732
adult toys,0.002652546103026732
adults,0.0003629739718721
advanced,0.0001020010907598
advanced food and allergy,0.000100981079852202
advent,2.459828068706327e-06
adventure,0.0091382372213665
adventures,0.0004758412740332
adventureworks,4.171672076777621e-07
aed,1.2654172833693825e-06
aerial,0.0004844200915105
aerobics,7.546537764263038e-07
aerolase,1.2082073290586443e-05
aes,2.9813229718223603e-06
aesthetic,0.0002584304555253
aesthetic heath and wellness,0.000255846150970047
aesthetica,5.16682828785579e-06
aesthetician,1.2255711195762356e-06
aestheticians,2.529947870692701e-07
aesthetics,0.001458554411998
affinity,5.497796665540801e-07
affordable,4.416509281088e-06
afnan,6.345003171847528e-07
africa,2.9709228861982053e-06
african,3.4013938981008e-05
after,6.03319194573e-06
agave,2.0362822935805224e-06
age,1.7616130434464e-05
ageless,1.8101691272595e-05
agent,9.202743653599756e-07
aging,7.2662953495704e-05
agr,1.1903234043383618e-06
ah,5.064702831814504e-07
aha,4.07289395663656e-06
ahwatukee,7.539472607419293e-07
ai,9.748567336861524e-07
air,0.0041067004074556
air aerial fitness,0.004065633403381044
air duc,0.004065633403381044
air duct cleaning,0.004065633403381044
air filter,0.004065633403381044
airbnb,4.0864609221384325e-05
airboat,0.0007669314675809
airbrush,0.0001021066449252
aircraft,3.460311348215383e-07
airduct,2.79821920667632e-06
aire,5.26215989951182e-05
airfare,3.680921590827845e-05
airlines,4.604763625156178e-06
airpark,9.014032835315724e-07
airplane,0.0001012626555221
airpod,2.4109728908696716e-06
airpods,9.637387351999892e-05
airport,0.0090575496101093
airport parking,0.008966974114008206
airsoft,0.0002873978315405
airtag,1.2911112092737669e-06
ajo,6.905894839789581e-07
akg,2.2381531416365497e-07
akribos,3.919684714918929e-06
akron,1.6292240906704765e-06
akumal,8.171540815489939e-07
alabama,6.963251245523515e-06
alabaster,1.6790601717421078e-06
alamo,2.3207402254649495e-05
alarm,8.428989231362075e-07
alaska,4.338326341856e-05
alastin,3.416419872075049e-05
albany,8.101762902035204e-07
album,6.922742525160237e-07
albuquerque,3.069975163144348e-05
alcatraz,0.0005335832353065
alchemy,1.9469729913870955e-06
alcohol,2.4335608085309702e-05
alcove,5.078191655170211e-07
ale,3.5794333836737686e-06
alea,1.1993448065369778e-06
alex,5.973673917446944e-07
alex earrings,3.5436390498370307e-06
alexa,6.423509330607489e-06
alexander,1.740004752934317e-06
alexandria,9.50000915720811e-06
alexandrite,3.609569560065689e-06
alhambra,1.6847467649883703e-06
ali,1.632171920985818e-05
alia,5.314604859778425e-07
alice,3.739462134376753e-06
alicia,8.966901645100947e-07
alie,1.0978933465248435e-06
alien,3.143578587896841e-06
align,1.2148711043556e-05
aligners,8.578844625904333e-06
alignment,0.0201180679245555
alignments,2.2074287247445382e-05
all,0.004975934958893
allegra,3.195762139380595e-07
allen,3.730897589149037e-06
allergy,1.159813323475748e-05
alley,2.437450575483e-05
alliance,5.008246759544e-06
alloy,1.3938687908121974e-06
allstar,1.008925297622204e-06
allure,0.0001936797961911
aloe,2.4259262661177263e-06
aloft,3.6001687947842313e-06
aloha,6.339536964035e-06
alopecia,1.81424683291184e-06
alora,1.2323135562104024e-06
alpaca,3.834718686356133e-06
alpacas,2.3223297122161194e-07
alpharetta,1.839013362194324e-06
alpine,8.806041550924256e-06
alter,4.2245734555592434e-07
alternator,2.962077579789437e-06
altitude,0.0005380562810779
am,2.3473999680417003e-05
amarillo,1.1710592171770442e-06
amaya,8.663191451622552e-07
amazing,5.3227787513664e-05
amazon,0.0003414074943493
ambers,7.918127365402172e-07
ambrosia,7.466765951245108e-07
amc,0.0707899163559818
amc gift card,0.07008201719242198
amc woodlands,0.07008201719242198
ame,5.404479716713627e-07
amelia,6.144857789668616e-07
amenities,1.093767879181e-06
amerejuve,1.2944857397629828e-06
america,6.394871574194e-06
american,0.0002815034327184
americana,1.4518468854425586e-05
amethyst,8.815798605195e-06
amf,2.323925968361283e-05
amici,4.318524818900447e-07
amiibo,4.7021174345620945e-07
amika,2.740416026165299e-07
amino,3.8485715527854273e-07
amish,1.687171579234353e-05
amora,1.2451167456420008e-06
amore,4.745141353710775e-06
amour,5.55369474424572e-06
amp,8.20404602579711e-07
amusement,0.0002001287879797
amusements,1.3129407404267243e-06
ana,3.06770666727e-06
anaheim,0.0002146463205373
anal,0.0002359901065093
analysis,8.85102809703e-06
anastasia,3.876882838683413e-06
anathallo,1.2867460776099822e-06
anc,6.343132207580379e-06
ancestry,5.337529914684225e-05
ancestry dna,5.2841546155373826e-05
anchorage,4.799479881104e-06
ancient,8.16561592658e-06
and,0.0184975598918588
anderson,2.585936241685067e-06
andes,1.292058024714744e-07
andre,3.2092384725876417e-06
andrea,2.622375696271471e-06
andretti melbourne,0.01831258429294021
andrew,1.812699632368685e-06
